sample_id,ade_m
1353,0.285836
1354,0.291483
1355,0.317691
1356,0.315323
1357,0.344682
1358,0.357945
1359,0.345177
1360,0.358895
1361,0.343635
1362,0.369461
1363,0.349847
1364,0.367804
1365,0.332994
1366,0.340846
1367,0.367137
1368,0.203794
1369,0.202630
1370,0.362394
1371,0.323286
1372,0.319367
1373,0.295475
1374,0.273577
1375,0.218934
1376,0.197522
1377,0.218793
1378,0.200230
1379,0.242536
1380,0.234114
1381,0.708740
1382,0.783963
1383,0.283280
1384,0.296817
1385,0.222995
1386,0.264853
1387,0.241326
1388,0.290775
1389,0.288607
1390,0.303885
1391,0.919444
1392,0.349731
1393,0.287792
1394,0.313155
1395,0.248303
1396,0.305976
1397,0.306534
1398,0.392708
1399,0.427027
1400,0.457571
1401,0.347041
1402,0.507745
1403,0.439089
1404,0.367348
1405,0.439384
1406,0.443215
1407,0.310814
1408,0.331552
1409,0.350598
1410,0.320220
1411,0.341655
1412,0.305784
1413,0.325708
1414,0.300169
1415,0.324748
1416,0.314658
1417,0.315692
1418,0.295904
1419,0.295458
1420,0.324359
1421,0.347953
1422,0.419436
1423,0.315150
1424,0.458108
1425,0.220052
1426,0.226606
1427,0.262985
1428,0.347190
1429,0.356516
1430,0.347153
1431,0.352059
1432,0.348450
1433,0.272096
1434,0.276838
1435,0.230285
1436,0.327085
1437,0.283537
1438,0.327194
1439,0.358201
1440,0.408094
1441,0.453946
1442,0.504294
1443,0.486662
1444,0.368121
1445,0.319892
1446,0.314666
1447,0.276163
1448,0.267777
1449,0.221870
1450,0.229308
1451,0.255261
1452,0.294499
1453,0.364434
1454,0.424404
1455,0.258795
1456,0.271022
1457,0.287673
1458,0.285268
1459,0.283552
1460,0.303663
1461,0.216608
1462,0.306922
1463,0.202613
1464,0.320587
1465,0.217848
1466,0.225846
1467,0.207939
1468,0.235042
1469,0.211182
1470,0.220543
1471,0.235897
1472,0.240695
1473,0.469402
1474,0.289700
1475,0.260683
1476,0.271324
1477,0.272961
1478,0.286323
1479,0.224665
1480,0.212259
1481,0.199167
1482,0.196286
1483,0.201026
1484,0.197432
1485,0.210357
1486,0.213873
1487,0.214498
1488,0.218875
1489,0.195819
1490,0.190726
1491,0.229481
1492,0.201039
1493,0.240048
1494,0.253309
1495,0.256917
1496,0.276868
1497,0.233849
1498,0.243830
1499,0.241010
1500,0.248347
1501,0.244677
1502,0.264574
1503,0.268016
1504,0.284687
1505,0.278815
1506,0.291090
1507,0.284020
