sample_id,ade_m
1210,7.581243
1211,8.190259
1212,7.595757
1213,8.205523
1214,7.608771
1215,8.215285
1216,7.627884
1217,8.229744
1218,7.642053
1219,8.244055
1220,7.661890
1221,8.263868
1222,7.680430
1223,8.279440
1224,7.699854
1225,8.297539
1226,7.717851
1227,8.314771
1228,7.736613
1229,8.329479
1230,7.758717
1231,8.345803
1232,7.774063
1233,8.362858
1234,7.789974
1235,8.377027
1236,7.808817
1237,8.391805
1238,7.823092
1239,8.402702
1240,7.835819
1241,8.413130
1242,7.846031
1243,8.425350
1244,7.854415
1245,8.431491
1246,7.861258
1247,8.432574
1248,7.861659
1249,8.435732
1250,7.866390
1251,8.433661
1252,7.862565
1253,8.430954
1254,7.857745
1255,8.421060
1256,7.849491
1257,8.413823
1258,7.838751
1259,8.402226
1260,7.824562
1261,8.388975
1262,7.808283
1263,8.373737
1264,7.788960
1265,8.355836
1266,7.769886
1267,8.332553
1268,7.745612
1269,8.315366
1270,7.722311
1271,8.291652
1272,7.696528
1273,8.265220
1274,7.668639
1275,8.238380
1276,7.641139
1277,8.212611
1278,7.616963
1279,8.196056
1280,7.598457
1281,8.194524
1282,7.603576
1283,8.201939
1284,7.619218
1285,8.216191
1286,7.637944
1287,8.234764
1288,7.653876
1289,8.259944
1290,7.677307
1291,8.274080
1292,7.696146
1293,8.295527
1294,7.719275
1295,8.308253
1296,7.730031
1297,8.321944
1298,7.745105
1299,8.333595
1300,7.752952
1301,8.339950
1302,7.760716
1303,8.342803
1304,7.759231
1305,8.342040
1306,7.754695
1307,8.337468
1308,7.751180
1309,8.326383
1310,7.737828
1311,8.317744
1312,7.724847
1313,8.297999
1314,7.702127
1315,8.278279
1316,7.678279
1317,8.256594
1318,7.648977
1319,8.229151
1320,7.619982
1321,8.197558
1322,7.582565
1323,8.163467
1324,7.541780
1325,8.123683
1326,7.496697
1327,8.078403
1328,7.448240
1329,8.031670
1330,7.392375
1331,7.980519
1332,7.334180
1333,7.923715
1334,7.272371
1335,7.866724
1336,7.210034
1337,7.806503
1338,7.145916
1339,7.746955
1340,7.078776
1341,7.686548
1342,7.015648
1343,7.624718
1344,6.955014
1345,7.571733
1346,6.896451
1347,7.515582
1348,6.831075
1349,7.423653
1350,6.713943
1351,7.290565
1352,6.567261
1353,7.162807
1354,6.444093
1355,7.057950
1356,6.339391
1357,6.956150
1358,6.230781
1359,6.846117
1360,6.113617
1361,6.726257
1362,5.997845
1363,6.618027
1364,5.896731
1365,6.515946
1366,5.808068
1367,6.404468
1368,5.722178
1369,6.306641
1370,5.652128
1371,6.214386
1372,5.589451
1373,6.135562
1374,5.545306
1375,6.066988
1376,5.512914
1377,6.017030
1378,5.485273
1379,5.979775
1380,5.470442
1381,5.959314
1382,5.476687
1383,5.952743
1384,5.499483
1385,5.972377
1386,5.536718
1387,6.005514
1388,5.588239
1389,6.053692
1390,5.649641
1391,6.114542
1392,5.710016
1393,6.170702
1394,5.765838
1395,6.210157
1396,5.810892
1397,6.238260
1398,5.845749
1399,6.246788
1400,5.865352
1401,6.243556
1402,5.880003
1403,6.233837
1404,5.885458
1405,6.209004
1406,5.881017
1407,6.209343
1408,5.941079
1409,6.291111
1410,6.097938
1411,6.437505
1412,6.315184
1413,6.620699
1414,6.566996
1415,6.846889
1416,6.863148
1417,7.123202
1418,7.190588
1419,7.406810
1420,7.506657
1421,7.658045
1422,7.765507
1423,7.854865
1424,7.968121
1425,8.020060
1426,8.145198
1427,8.170939
1428,8.308912
1429,8.295728
1430,8.437812
1431,8.378437
1432,8.512053
1433,8.418982
1434,8.542568
1435,8.438163
1436,8.509658
1437,8.465381
1438,8.277240
1439,8.493485
1440,8.027767
1441,8.463720
1442,7.795719
1443,8.188427
1444,7.569691
1445,7.907614
1446,7.343249
1447,7.624791
1448,7.161794
1449,7.454784
1450,7.167971
1451,7.489595
1452,7.286168
1453,7.564317
1454,7.357207
1455,7.597573
1456,7.403681
1457,7.637621
1458,7.504224
1459,7.762079
1460,7.673307
1461,7.936857
1462,7.864931
1463,8.140268
1464,8.085975
1465,8.367912
1466,8.345131
1467,8.624427
1468,8.632551
1469,8.905016
1470,8.939594
1471,9.208017
1472,9.275233
1473,9.223497
1474,9.344456
1475,9.188787
1476,9.296452
1477,9.066293
1478,9.176771
1479,9.218781
1480,8.444227
1481,8.988500
1482,8.749927
1483,8.986923
1484,8.578826
1485,8.837145
1486,8.396559
1487,8.702847
1488,8.195706
1489,8.516777
1490,7.925402
1491,8.294299
1492,7.637623
1493,8.090480
1494,7.404642
1495,7.951015
1496,7.222735
1497,7.838410
1498,7.056467
1499,7.743604
1500,6.920266
1501,7.664280
1502,6.778984
1503,7.572686
1504,6.617233
